Year,Tropical Storms,Hurricanes,Major Hurricanes,Total
1950,16,11,6,33
1951,12,8,3,23
1952,11,5,2,18
1953,14,7,3,24
1954,16,7,3,26
1955,13,9,4,26
1956,8,4,2,14
1957,8,3,2,13
1958,10,7,5,22
1959,11,7,2,20
1960,7,4,2,13
1961,11,8,7,26
1962,5,3,1,9
1963,9,7,2,18
1964,12,6,6,24
1965,6,4,1,11
1966,11,7,3,21
1967,8,6,1,15
1968,8,5,0,13
1969,18,12,5,35
1970,10,5,2,17
1971,13,6,1,20
1972,7,3,0,10
1973,8,4,1,13
1974,11,4,2,17
1975,9,6,3,18
1976,10,6,2,18
1977,6,5,1,12
1978,12,5,2,19
1979,9,6,2,17
1980,11,9,2,22
1981,12,7,3,22
1982,6,2,1,9
1983,4,3,1,8
1984,13,5,1,19
1985,11,7,3,21
1986,6,4,0,10
1987,7,3,1,11
1988,12,5,3,20
1989,11,7,2,20
1990,14,8,1,23
1991,8,4,2,14
1992,7,4,1,12
1993,8,4,1,13
1994,7,3,0,10
1995,19,11,5,35
1996,13,9,6,28
1997,8,3,1,12
1998,14,10,3,27
1999,12,8,5,25
2000,15,8,3,26
2001,15,9,4,28
2002,12,4,2,18
2003,16,7,3,26
2004,15,9,6,30
2005,28,15,7,50
2006,10,5,2,17
2007,15,6,2,23
2008,16,8,5,29
2009,9,3,2,14
2010,19,12,5,36
2011,19,7,4,30
2012,19,10,2,31
2013,14,2,0,16
2014,8,6,2,16
2015,11,4,2,17
2016,15,7,4,26
2017,17,10,6,33
2018,15,8,2,25
2019,18,6,3,27
2020,30,14,7,51
2021,21,7,4,32
2022,14,8,2,24
